user_id	commet-number	song-id
272572232	51	['41462747', '27678384', '255771', '571854055', '157277', '157289', '157301', '381036', '381044', '381069', '381072', '381088', '381094', '381098', '381102', '378673', '378676', '378780', '381531', '529824473', '387388', '387395', '387382', '387384', '387363', '33378149', '33378152', '28612484', '28612488', '28612489', '28612492', '28612490', '28612494', '507794218', '507795236', '507794225', '448916754', '411349276', '29789215', '393298', '449818513', '393298', '393435', '449824486', '34033965', '34033972', '34033971', '34003983', '34003986', '34003985', '34003988']
516300953	58	['88901', '568023737', '41462748', '191967', '194721', '194721', '194721', '381037', '381040', '381053', '381057', '381062', '381088', '381091', '381094', '381117', '378673', '378774', '381507', '381507', '381515', '381536', '545350636', '862102071', '532711281', '536624281', '529824473', '514053179', '387326', '529834440', '387371', '557583314', '507795240', '484314206', '484314208', '484311244', '484311247', '448917752', '448916755', '448916754', '448917755', '448917760', '448917768', '419116122', '417613691', '411349277', '411349274', '411349287', '411349290', '411349293', '29789212', '416552400', '393308', '448917760', '393448', '449818502', '397593', '34033970']
320904936	45	['530897939', '41462748', '41462747', '41462749', '41462752', '301375', '381032', '381036', '381057', '381062', '381064', '381079', '381119', '381131', '381123', '381129', '381144', '378673', '378780', '514053179', '387326', '387335', '387374', '387375', '389485', '389490', '557583311', '557583312', '557581294', '557579302', '507794226', '484314206', '484314208', '484314207', '484311244', '484311245', '484311247', '484311248', '484314210', '417613696', '411349274', '449818521', '393439', '397593', '34003978']
77506777	18	['864434980', '31149955', '574621074', '31149955', '31149955', '253916', '253916', '32358876', '310884', '29246273', '29246273', '551263583', '378673', '388772', '39637837', '28660327', '27533132', '391069']
335308886	19	['25830272', '25830387', '35288587', '35288819', '25822433', '25822440', '358416', '279613', '279613', '28048453', '154986', '28409302', '324768', '442314080', '326341', '326342', '326351', '326355', '382000']
3298086	13	['105844', '35288580', '35288587', '35288821', '35288603', '35288606', '35288609', '35288607', '25817637', '279600', '279600', '279598', '28059086']
6725664	30	['35288580', '35288582', '35288587', '35288815', '35288823', '35288821', '35288825', '35288603', '35288606', '35288614', '35288607', '279587', '279589', '279607', '279618', '279614', '279598', '279602', '28048450', '28048447', '28048451', '28048454', '28048453', '28059071', '28059083', '28059091', '28059096', '154983', '28409295', '28409302']
41333262	15	['60489', '60489', '60489', '60489', '27937521', '29027032', '171874', '171874', '171874', '25641861', '25641861', '25641861', '190275', '190371', '190275']
16876627	26	['205655', '416552612', '407841203', '101389', '267836', '267836', '28996443', '25641861', '25641861', '25641861', '191048', '192372', '192372', '191722', '191985', '29777056', '37722026', '316530', '32364457', '5252933', '5252933', '5252933', '5252933', '25727423', '28111625', '28111625']
37304513	18	['4878119', '4878119', '4878119', '4878119', '408332049', '25641861', '25641861', '25641861', '4878127', '4878128', '4878128', '30031079', '415792916', '412327303', '412327307', '412327308', '412327303', '412327303']
